model,split,label,accuracy,sensitivity,specificity,f1,auc,auprc,tp,fp,tn,fn
random_forest,val_inner,label_stroke_next,89.63,28.75,93.05,22.77,72.85,16.83,23,99,1326,57
random_forest,val_inner,macro_avg,78.93,70.37,73.94,61.26,81.65,62.6,2788,1583,5527,637
random_forest,test,label_lipid_disorder,66.23,78.16,62.22,53.75,76.45,47.28,476,686,1130,133
random_forest,test,label_diabetes_current,80.99,76.03,83.34,72.01,87.96,80.31,593,274,1371,187
random_forest,test,label_hypertension_current,71.05,91.99,45.87,77.63,80.4,81.12,1218,596,505,106
random_forest,test,label_obesity_current,91.34,44.8,93.87,34.78,79.43,26.38,56,141,2159,69
random_forest,test,label_cardio_next,77.15,86.68,67.34,79.39,85.18,84.12,1067,390,804,164
random_forest,test,label_kidney_next,65.9,80.24,55.54,66.37,78.19,75.13,816,626,782,201
random_forest,test,label_stroke_next,89.03,28.57,92.74,23.12,71.04,15.11,40,166,2119,100
random_forest,test,macro_avg,77.38,69.5,71.56,58.15,79.81,58.49,4266,2879,8870,960
