model,split,label,accuracy,sensitivity,specificity,f1,auc,auprc,tp,fp,tn,fn
logistic_regression,train_inner,label_lipid_disorder,83.56,95.22,79.02,76.42,95.19,87.4,2272,1288,4852,114
logistic_regression,train_inner,label_diabetes_current,95.3,95.29,95.3,93.3,99.06,98.2,2794,263,5331,138
logistic_regression,train_inner,label_hypertension_current,80.99,98.54,58.61,85.32,95.83,96.61,4709,1551,2196,70
logistic_regression,train_inner,label_obesity_current,99.04,100.0,98.98,92.18,99.96,98.9,483,82,7961,0
logistic_regression,train_inner,label_cardio_next,91.02,95.33,86.4,91.65,97.07,97.08,4203,560,3557,206
logistic_regression,train_inner,label_kidney_next,68.31,99.21,44.73,73.04,95.12,93.83,3661,2673,2163,29
logistic_regression,train_inner,label_stroke_next,98.64,85.23,99.48,88.04,99.7,92.75,427,42,7983,74
logistic_regression,train_inner,macro_avg,88.12,95.55,80.36,85.71,97.42,94.97,18549,6459,34043,631
logistic_regression,val_inner,label_lipid_disorder,64.85,65.56,64.58,51.06,68.72,42.42,276,384,700,145
logistic_regression,val_inner,label_diabetes_current,83.99,81.19,85.54,78.35,90.65,86.7,436,140,828,101
logistic_regression,val_inner,label_hypertension_current,68.11,87.69,43.03,75.54,76.2,79.52,741,376,284,104
logistic_regression,val_inner,label_obesity_current,90.96,46.39,94.03,39.82,79.64,37.98,45,84,1324,52
logistic_regression,val_inner,label_cardio_next,77.08,81.21,72.85,78.18,84.23,84.53,618,202,542,143
logistic_regression,val_inner,label_kidney_next,60.33,88.45,36.91,66.96,75.46,72.85,605,518,303,79
logistic_regression,val_inner,label_stroke_next,92.69,17.5,96.91,20.29,66.53,18.04,14,44,1381,66
logistic_regression,val_inner,macro_avg,76.86,66.86,70.55,58.6,77.35,60.29,2735,1748,5362,690
logistic_regression,test,label_lipid_disorder,65.03,65.52,64.87,48.48,70.04,40.37,399,638,1178,210
logistic_regression,test,label_diabetes_current,80.25,73.08,83.65,70.41,87.77,81.09,570,269,1376,210
logistic_regression,test,label_hypertension_current,66.89,88.67,40.69,74.52,75.32,77.69,1174,653,448,150
logistic_regression,test,label_obesity_current,90.52,34.4,93.57,27.22,74.64,19.09,43,148,2152,82
logistic_regression,test,label_cardio_next,75.26,80.83,69.51,76.83,82.62,83.05,995,364,830,236
logistic_regression,test,label_kidney_next,57.65,87.81,35.87,63.49,73.57,70.23,893,903,505,124
logistic_regression,test,label_stroke_next,89.94,8.57,94.92,8.96,65.44,10.05,12,116,2169,128
logistic_regression,test,macro_avg,75.08,62.7,69.01,52.84,75.63,54.51,4086,3091,8658,1140
decision_tree,train_inner,label_lipid_disorder,99.98,99.92,100.0,99.96,100.0,100.0,2384,0,6140,2
decision_tree,train_inner,label_diabetes_current,100.0,100.0,100.0,100.0,100.0,100.0,2932,0,5594,0
decision_tree,train_inner,label_hypertension_current,100.0,100.0,100.0,100.0,100.0,100.0,4779,0,3747,0
decision_tree,train_inner,label_obesity_current,100.0,100.0,100.0,100.0,100.0,100.0,483,0,8043,0
decision_tree,train_inner,label_cardio_next,99.96,100.0,99.93,99.97,100.0,100.0,4409,3,4114,0
decision_tree,train_inner,label_kidney_next,99.98,99.95,100.0,99.97,100.0,100.0,3688,0,4836,2
decision_tree,train_inner,label_stroke_next,100.0,100.0,100.0,100.0,100.0,100.0,501,0,8025,0
decision_tree,train_inner,macro_avg,99.99,99.98,99.99,99.99,100.0,100.0,19176,3,40499,4
decision_tree,val_inner,label_lipid_disorder,68.77,47.03,77.21,45.73,61.95,35.78,198,247,837,223
decision_tree,val_inner,label_diabetes_current,77.94,72.25,81.1,70.04,76.67,59.0,388,183,785,149
decision_tree,val_inner,label_hypertension_current,68.5,72.19,63.79,72.02,67.99,67.48,610,239,421,235
decision_tree,val_inner,label_obesity_current,89.24,28.87,93.39,25.69,61.13,11.26,28,93,1315,69
decision_tree,val_inner,label_cardio_next,71.23,70.57,71.91,71.27,71.42,65.94,537,209,535,224
decision_tree,val_inner,label_kidney_next,64.78,60.82,68.09,61.09,64.24,55.15,416,262,559,268
decision_tree,val_inner,label_stroke_next,87.57,17.5,91.51,13.02,54.5,6.2,14,121,1304,66
decision_tree,val_inner,macro_avg,75.43,52.75,78.14,51.27,65.41,42.97,2191,1354,5756,1234
decision_tree,test,label_lipid_disorder,69.65,46.8,77.31,43.64,61.86,32.57,285,412,1404,324
decision_tree,test,label_diabetes_current,77.28,69.87,80.79,66.42,75.33,53.92,545,316,1329,235
decision_tree,test,label_hypertension_current,66.52,69.11,63.4,69.27,66.25,64.84,915,403,698,409
decision_tree,test,label_obesity_current,89.57,29.6,92.83,22.63,61.21,9.05,37,165,2135,88
decision_tree,test,label_cardio_next,68.04,71.65,64.32,69.48,68.83,63.77,882,426,768,349
decision_tree,test,label_kidney_next,64.04,59.29,67.47,58.04,63.0,50.78,603,458,950,414
decision_tree,test,label_stroke_next,85.9,15.71,90.2,11.4,52.96,6.27,22,224,2061,118
decision_tree,test,macro_avg,74.43,51.72,76.62,48.7,64.21,40.17,3289,2404,9345,1937
random_forest,train_inner,label_lipid_disorder,99.89,100.0,99.85,99.81,100.0,100.0,2386,9,6131,0
random_forest,train_inner,label_diabetes_current,100.0,100.0,100.0,100.0,100.0,100.0,2932,0,5594,0
random_forest,train_inner,label_hypertension_current,99.98,100.0,99.95,99.98,100.0,100.0,4779,2,3745,0
random_forest,train_inner,label_obesity_current,99.92,100.0,99.91,99.28,100.0,100.0,483,7,8036,0
random_forest,train_inner,label_cardio_next,99.99,99.98,100.0,99.99,100.0,100.0,4408,0,4117,1
random_forest,train_inner,label_kidney_next,99.98,100.0,99.96,99.97,100.0,100.0,3690,2,4834,0
random_forest,train_inner,label_stroke_next,99.92,100.0,99.91,99.31,100.0,100.0,501,7,8018,0
random_forest,train_inner,macro_avg,99.95,100.0,99.94,99.76,100.0,100.0,19179,27,40475,1
random_forest,val_inner,label_lipid_disorder,68.04,76.01,64.94,57.09,76.7,50.39,320,380,704,101
random_forest,val_inner,label_diabetes_current,84.52,80.45,86.78,78.76,90.85,85.44,432,128,840,105
random_forest,val_inner,label_hypertension_current,71.83,91.01,47.27,78.39,79.8,80.65,769,348,312,76
random_forest,val_inner,label_obesity_current,90.7,51.55,93.39,41.67,84.0,39.21,50,93,1315,47
random_forest,val_inner,label_cardio_next,78.87,86.47,71.1,80.54,87.4,87.01,658,215,529,103
random_forest,val_inner,label_kidney_next,68.9,78.36,61.02,69.61,79.92,78.67,536,320,501,148
